fecha,presentacion,origen,destino,precio_minimo,precio_maximo,precio_frecuente,obs,fecha_inicio_query,fecha_final_query,producto_id,origen_id,destino_id,origen_query,destino_query,precios_por_id,registros_por_pagina,fuente,fecha_extraccion
09/03/2026,Caja de 10 kg.,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,55.0,55.0,55.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
10/03/2026,Caja de 10 kg.,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,55.0,55.0,55.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
11/03/2026,Caja de 10 kg.,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,55.0,55.0,55.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
12/03/2026,Caja de 10 kg.,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,55.0,55.0,55.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
13/03/2026,Caja de 10 kg.,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,55.0,55.0,55.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
03/03/2026,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",30.77,32.31,30.77,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
04/03/2026,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",30.77,32.31,30.77,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
05/03/2026,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",30.77,32.31,30.77,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
06/03/2026,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",30.77,32.31,30.77,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
09/03/2026,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",30.77,32.31,30.77,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
10/03/2026,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",30.77,32.31,30.77,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
11/03/2026,Caja de 13 kg.,Distrito Federal,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",30.77,32.31,30.77,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
